feature,importance
NIR_Green_Ratio,0.07509384152087342
B12,0.07416987903994433
B11,0.07408326389890213
MNDWI_NDVI_diff,0.07096157348383537
NDWI,0.06907715938210891
MNDWI,0.06526096883205018
SWIR_Ratio,0.06194543771924521
Brightness,0.05064418151870256
Greenness,0.037433391156815495
B8,0.037281823995716105
SAVI,0.0352516469844682
EVI,0.03364985697480539
NDVI,0.031596892722939134
NIR_Red_Ratio,0.03141424849417187
GRVI,0.03133844895259657
B2,0.029044052722941097
NBR,0.027538495333620225
BSI,0.026232287532384813
B3,0.025656357529420998
UI,0.024910481513394193
B4,0.022576219684714603
NDBI_NDVI_diff,0.022034203053945833
NDMI,0.021437003538508595
NDBI,0.021368284413894833
